Depth (km), Temperature (K)
6.000000000000000000e+02,1.793000000000000000e+03
5.989983305509182401e+02,1.792554813578185986e+03
5.979966611018363665e+02,1.792109627156371744e+03
5.969949916527546065e+02,1.791664440734557729e+03
5.959933222036728466e+02,1.791219254312743487e+03
5.949916527545909730e+02,1.790774067890929473e+03
5.939899833055092131e+02,1.790328881469115231e+03
5.929883138564273395e+02,1.789883695047301217e+03
5.919866444073455796e+02,1.789438508625486975e+03
5.909849749582638196e+02,1.788993322203672960e+03
5.899833055091819460e+02,1.788548135781858718e+03
5.889816360601001861e+02,1.788102949360044704e+03
5.879799666110184262e+02,1.787657762938230462e+03
5.869782971619365526e+02,1.787212576516416448e+03
5.859766277128547927e+02,1.786767390094602206e+03
5.849749582637730327e+02,1.786322203672788191e+03
5.839732888146911591e+02,1.785877017250973950e+03
5.829716193656093992e+02,1.785431830829159935e+03
5.819699499165275256e+02,1.784986644407345693e+03
5.809682804674457657e+02,1.784541457985531451e+03
5.799666110183640058e+02,1.784096271563717437e+03
5.789649415692821321e+02,1.783651085141903195e+03
5.779632721202003722e+02,1.783205898720089181e+03
5.769616026711186123e+02,1.782760712298274939e+03
5.759599332220367387e+02,1.782315525876460924e+03
5.749582637729549788e+02,1.781870339454646682e+03
5.739565943238732189e+02,1.781425153032832668e+03
5.729549248747913452e+02,1.780979966611018426e+03
5.719532554257095853e+02,1.780534780189204412e+03
5.709515859766277117e+02,1.780089593767390170e+03
5.699499165275458381e+02,1.779644407345576155e+03
5.689482470784640782e+02,1.779199220923761914e+03
5.679465776293822046e+02,1.778754034501947899e+03
5.669449081803004447e+02,1.778308848080133657e+03
5.659432387312186847e+02,1.777863661658319643e+03
5.649415692821368111e+02,1.777418475236505401e+03
5.639398998330550512e+02,1.776973288814691387e+03
5.629382303839732913e+02,1.776528102392877145e+03
5.619365609348914177e+02,1.776082915971062903e+03
5.609348914858096578e+02,1.775637729549248888e+03
5.599332220367278978e+02,1.775192543127434874e+03
5.589315525876460242e+02,1.774747356705620632e+03
5.579298831385642643e+02,1.774302170283806390e+03
5.569282136894823907e+02,1.773856983861992376e+03
5.559265442404006308e+02,1.773411797440178134e+03
5.549248747913188708e+02,1.772966611018364119e+03
5.539232053422369972e+02,1.772521424596549878e+03
5.529215358931552373e+02,1.772076238174735863e+03
5.519198664440734774e+02,1.771631051752921621e+03
5.509181969949916038e+02,1.771185865331107379e+03
5.499165275459098439e+02,1.770740678909293365e+03
5.489148580968279703e+02,1.770295492487479123e+03
5.479131886477462103e+02,1.769850306065665109e+03
5.469115191986644504e+02,1.769405119643850867e+03
5.459098497495825768e+02,1.768959933222036852e+03
5.449081803005008169e+02,1.768514746800222611e+03
5.439065108514190570e+02,1.768069560378408596e+03
5.429048414023371834e+02,1.767624373956594354e+03
5.419031719532554234e+02,1.767179187534780340e+03
5.409015025041736635e+02,1.766734001112966098e+03
5.398998330550917899e+02,1.766288814691152083e+03
5.388981636060100300e+02,1.765843628269337842e+03
5.378964941569282701e+02,1.765398441847523827e+03
5.368948247078463964e+02,1.764953255425709585e+03
5.358931552587646365e+02,1.764508069003895571e+03
5.348914858096827629e+02,1.764062882582081329e+03
5.338898163606010030e+02,1.763617696160267315e+03
5.328881469115192431e+02,1.763172509738453073e+03
5.318864774624373695e+02,1.762727323316638831e+03
5.308848080133556095e+02,1.762282136894824816e+03
5.298831385642738496e+02,1.761836950473010802e+03
5.288814691151919760e+02,1.761391764051196560e+03
5.278797996661102161e+02,1.760946577629382318e+03
5.268781302170283425e+02,1.760501391207568304e+03
5.258764607679465826e+02,1.760056204785754062e+03
5.248747913188648226e+02,1.759611018363940047e+03
5.238731218697829490e+02,1.759165831942125806e+03
5.228714524207011891e+02,1.758720645520311791e+03
5.218697829716194292e+02,1.758275459098497549e+03
5.208681135225375556e+02,1.757830272676683535e+03
5.198664440734557957e+02,1.757385086254869293e+03
5.188647746243739221e+02,1.756939899833055279e+03
5.178631051752921621e+02,1.756494713411241037e+03
5.168614357262104022e+02,1.756049526989427022e+03
5.158597662771285286e+02,1.755604340567612780e+03
5.148580968280467687e+02,1.755159154145798766e+03
5.138564273789650088e+02,1.754713967723984524e+03
5.128547579298831351e+02,1.754268781302170282e+03
5.118530884808013184e+02,1.753823594880356268e+03
5.108514190317195585e+02,1.753378408458542253e+03
5.098497495826377417e+02,1.752933222036728012e+03
5.088480801335559249e+02,1.752488035614913770e+03
5.078464106844741082e+02,1.752042849193099755e+03
5.068447412353922914e+02,1.751597662771285513e+03
5.058430717863105315e+02,1.751152476349471499e+03
5.048414023372287147e+02,1.750707289927657257e+03
5.038397328881468979e+02,1.750262103505843243e+03
5.028380634390651380e+02,1.749816917084029001e+03
5.018363939899833213e+02,1.749371730662214986e+03
5.008347245409015045e+02,1.748926544240400744e+03
4.998330550918197446e+02,1.748481357818586730e+03
4.988313856427379278e+02,1.748036171396772488e+03
4.978297161936561110e+02,1.747590984974958246e+03
4.968280467445742943e+02,1.747145798553144232e+03
4.958263772954925344e+02,1.746700612131330217e+03
4.948247078464106607e+02,1.746255425709515976e+03
4.938230383973288440e+02,1.745810239287701734e+03
4.928213689482470272e+02,1.745365052865887719e+03
4.918196994991652673e+02,1.744919866444073477e+03
4.908180300500834505e+02,1.744474680022259463e+03
4.898163606010016338e+02,1.744029493600445221e+03
4.888146911519198738e+02,1.743584307178631207e+03
4.878130217028380571e+02,1.743139120756816965e+03
4.868113522537562403e+02,1.742693934335002950e+03
4.858096828046744804e+02,1.742248747913188708e+03
4.848080133555926636e+02,1.741803561491374694e+03
4.838063439065108469e+02,1.741358375069560452e+03
4.828046744574290301e+02,1.740913188647746438e+03
4.818030050083472133e+02,1.740468002225932196e+03
4.808013355592654534e+02,1.740022815804118181e+03
4.797996661101836366e+02,1.739577629382303940e+03
4.787979966611018199e+02,1.739132442960489698e+03
4.777963272120200600e+02,1.738687256538675683e+03
4.767946577629382432e+02,1.738242070116861669e+03
4.757929883138564264e+02,1.737796883695047427e+03
4.747913188647746665e+02,1.737351697273233185e+03
4.737896494156928497e+02,1.736906510851419171e+03
4.727879799666110330e+02,1.736461324429604929e+03
4.717863105175292162e+02,1.736016138007790914e+03
4.707846410684473994e+02,1.735570951585976673e+03
4.697829716193656395e+02,1.735125765164162658e+03
4.687813021702838228e+02,1.734680578742348416e+03
4.677796327212020060e+02,1.734235392320534402e+03
4.667779632721202461e+02,1.733790205898720160e+03
4.657762938230384293e+02,1.733345019476906145e+03
4.647746243739565557e+02,1.732899833055091904e+03
4.637729549248747958e+02,1.732454646633277889e+03
4.627712854757929222e+02,1.732009460211463647e+03
4.617696160267111622e+02,1.731564273789649633e+03
4.607679465776294023e+02,1.731119087367835391e+03
4.597662771285475287e+02,1.730673900946021149e+03
4.587646076794657688e+02,1.730228714524207135e+03
4.577629382303839520e+02,1.729783528102392893e+03
4.567612687813021353e+02,1.729338341680578878e+03
4.557595993322203753e+02,1.728893155258764637e+03
4.547579298831385586e+02,1.728447968836950622e+03
4.537562604340567418e+02,1.728002782415136380e+03
4.527545909849749819e+02,1.727557595993322366e+03
4.517529215358931651e+02,1.727112409571508124e+03
4.507512520868113484e+02,1.726667223149694109e+03
4.497495826377295884e+02,1.726222036727879868e+03
4.487479131886477148e+02,1.725776850306065626e+03
4.477462437395659549e+02,1.725331663884251611e+03
4.467445742904841381e+02,1.724886477462437597e+03
4.457429048414023214e+02,1.724441291040623355e+03
4.447412353923205615e+02,1.723996104618809113e+03
4.437395659432387447e+02,1.723550918196995099e+03
4.427378964941569279e+02,1.723105731775180857e+03
4.417362270450751680e+02,1.722660545353366842e+03
4.407345575959933512e+02,1.722215358931552601e+03
4.397328881469115345e+02,1.721770172509738586e+03
4.387312186978297746e+02,1.721324986087924344e+03
4.377295492487479009e+02,1.720879799666110330e+03
4.367278797996661410e+02,1.720434613244296088e+03
4.357262103505843243e+02,1.719989426822482073e+03
4.347245409015024507e+02,1.719544240400667832e+03
4.337228714524206907e+02,1.719099053978853817e+03
4.327212020033388740e+02,1.718653867557039575e+03
4.317195325542570572e+02,1.718208681135225561e+03
4.307178631051752973e+02,1.717763494713411319e+03
4.297161936560934805e+02,1.717318308291597305e+03
4.287145242070116637e+02,1.716873121869783063e+03
4.277128547579299038e+02,1.716427935447969048e+03
4.267111853088480302e+02,1.715982749026154806e+03
4.257095158597662703e+02,1.715537562604340565e+03
4.247078464106844535e+02,1.715092376182526550e+03
4.237061769616026368e+02,1.714647189760712308e+03
4.227045075125208768e+02,1.714202003338898294e+03
4.217028380634390601e+02,1.713756816917084052e+03
4.207011686143572433e+02,1.713311630495270037e+03
4.196994991652754834e+02,1.712866444073455796e+03
4.186978297161936666e+02,1.712421257651641781e+03
4.176961602671118499e+02,1.711976071229827539e+03
4.166944908180300899e+02,1.711530884808013525e+03
4.156928213689482163e+02,1.711085698386199283e+03
4.146911519198664564e+02,1.710640511964385269e+03
4.136894824707846396e+02,1.710195325542571027e+03
4.126878130217028229e+02,1.709750139120757012e+03
4.116861435726210630e+02,1.709304952698942770e+03
4.106844741235392462e+02,1.708859766277128529e+03
4.096828046744574294e+02,1.708414579855314514e+03
4.086811352253756695e+02,1.707969393433500500e+03
4.076794657762938527e+02,1.707524207011686258e+03
4.066777963272120360e+02,1.707079020589872016e+03
4.056761268781302761e+02,1.706633834168058002e+03
4.046744574290483456e+02,1.706188647746243760e+03
4.036727879799665857e+02,1.705743461324429745e+03
4.026711185308848258e+02,1.705298274902615503e+03
4.016694490818029522e+02,1.704853088480801489e+03
4.006677796327211922e+02,1.704407902058987247e+03
3.996661101836393755e+02,1.703962715637173233e+03
3.986644407345575587e+02,1.703517529215358991e+03
3.976627712854757988e+02,1.703072342793544976e+03
3.966611018363939820e+02,1.702627156371730734e+03
3.956594323873121652e+02,1.702181969949916720e+03
3.946577629382304053e+02,1.701736783528102478e+03
3.936560934891485317e+02,1.701291597106288236e+03
3.926544240400667718e+02,1.700846410684474222e+03
3.916527545909850119e+02,1.700401224262660207e+03
3.906510851419031383e+02,1.699956037840845966e+03
3.896494156928213783e+02,1.699510851419031724e+03
3.886477462437395616e+02,1.699065664997217709e+03
3.876460767946577448e+02,1.698620478575403467e+03
3.866444073455759849e+02,1.698175292153589453e+03
3.856427378964941681e+02,1.697730105731775211e+03
3.846410684474123514e+02,1.697284919309961197e+03
3.836393989983305914e+02,1.696839732888146955e+03
3.826377295492487747e+02,1.696394546466332940e+03
3.816360601001669579e+02,1.695949360044518698e+03
3.806343906510851980e+02,1.695504173622704684e+03
3.796327212020033244e+02,1.695058987200890442e+03
3.786310517529215645e+02,1.694613800779076428e+03
3.776293823038397477e+02,1.694168614357262186e+03
3.766277128547579309e+02,1.693723427935447944e+03
3.756260434056761710e+02,1.693278241513633930e+03
3.746243739565942974e+02,1.692833055091819915e+03
3.736227045075124806e+02,1.692387868670005673e+03
3.726210350584307207e+02,1.691942682248191431e+03
3.716193656093489039e+02,1.691497495826377417e+03
3.706176961602670872e+02,1.691052309404563175e+03
3.696160267111853273e+02,1.690607122982749161e+03
3.686143572621034536e+02,1.690161936560934919e+03
3.676126878130216937e+02,1.689716750139120904e+03
3.666110183639398770e+02,1.689271563717306663e+03
3.656093489148580602e+02,1.688826377295492648e+03
3.646076794657763003e+02,1.688381190873678406e+03
3.636060100166944835e+02,1.687936004451864392e+03
3.626043405676126667e+02,1.687490818030050150e+03
3.616026711185309068e+02,1.687045631608236135e+03
3.606010016694490901e+02,1.686600445186421894e+03
3.595993322203672733e+02,1.686155258764607879e+03
3.585976627712855134e+02,1.685710072342793637e+03
3.575959933222036398e+02,1.685264885920979395e+03
3.565943238731218798e+02,1.684819699499165381e+03
3.555926544240400631e+02,1.684374513077351139e+03
3.545909849749582463e+02,1.683929326655537125e+03
3.535893155258764864e+02,1.683484140233722883e+03
3.525876460767946696e+02,1.683038953811908868e+03
3.515859766277128529e+02,1.682593767390094627e+03
3.505843071786310929e+02,1.682148580968280612e+03
3.495826377295492762e+02,1.681703394546466370e+03
3.485809682804674594e+02,1.681258208124652356e+03
3.475792988313856995e+02,1.680813021702838114e+03
3.465776293823038259e+02,1.680367835281024099e+03
3.455759599332220660e+02,1.679922648859209858e+03
3.445742904841401923e+02,1.679477462437395843e+03
3.435726210350583756e+02,1.679032276015581601e+03
3.425709515859766157e+02,1.678587089593767587e+03
3.415692821368947989e+02,1.678141903171953345e+03
3.405676126878129821e+02,1.677696716750139103e+03
3.395659432387312222e+02,1.677251530328325089e+03
3.385642737896494054e+02,1.676806343906510847e+03
3.375626043405675887e+02,1.676361157484696832e+03
3.365609348914857719e+02,1.675915971062882591e+03
3.355592654424040120e+02,1.675470784641068576e+03
3.345575959933221952e+02,1.675025598219254334e+03
3.335559265442403785e+02,1.674580411797440320e+03
3.325542570951586185e+02,1.674135225375626078e+03
3.315525876460768018e+02,1.673690038953812063e+03
3.305509181969949850e+02,1.673244852531997822e+03
3.295492487479131682e+02,1.672799666110183807e+03
3.285475792988314083e+02,1.672354479688369565e+03
3.275459098497495916e+02,1.671909293266555551e+03
3.265442404006677748e+02,1.671464106844741309e+03
3.255425709515859580e+02,1.671018920422927295e+03
3.245409015025041981e+02,1.670573734001113053e+03
3.235392320534223813e+02,1.670128547579298811e+03
3.225375626043405646e+02,1.669683361157484796e+03
3.215358931552588047e+02,1.669238174735670782e+03
3.205342237061769879e+02,1.668792988313856540e+03
3.195325542570951711e+02,1.668347801892042298e+03
3.185308848080133544e+02,1.667902615470228284e+03
3.175292153589315944e+02,1.667457429048414042e+03
3.165275459098497777e+02,1.667012242626600028e+03
3.155258764607679609e+02,1.666567056204785786e+03
3.145242070116860873e+02,1.666121869782971771e+03
3.135225375626043274e+02,1.665676683361157529e+03
3.125208681135225106e+02,1.665231496939343515e+03
3.115191986644406938e+02,1.664786310517529273e+03
3.105175292153589339e+02,1.664341124095715259e+03
3.095158597662771172e+02,1.663895937673901017e+03
3.085141903171953004e+02,1.663450751252087002e+03
3.075125208681134836e+02,1.663005564830272760e+03
3.065108514190317237e+02,1.662560378408458746e+03
3.055091819699499069e+02,1.662115191986644504e+03
3.045075125208680902e+02,1.661670005564830262e+03
3.035058430717863303e+02,1.661224819143016248e+03
3.025041736227045135e+02,1.660779632721202006e+03
3.015025041736226967e+02,1.660334446299387992e+03
