Depth (km), Temperature (K)
3.005008347245408800e+02,1.659889259877573750e+03
2.994991652754591200e+02,1.659444073455759735e+03
2.984974958263773033e+02,1.658998887033945493e+03
2.974958263772954865e+02,1.658553700612131479e+03
2.964941569282136697e+02,1.658108514190317237e+03
2.954924874791319098e+02,1.657663327768503223e+03
2.944908180300500931e+02,1.657218141346688981e+03
2.934891485809682763e+02,1.656772954924874966e+03
2.924874791318865164e+02,1.656327768503060724e+03
2.914858096828046996e+02,1.655882582081246710e+03
2.904841402337228828e+02,1.655437395659432468e+03
2.894824707846410661e+02,1.654992209237618226e+03
2.884808013355593062e+02,1.654547022815804212e+03
2.874791318864774894e+02,1.654101836393989970e+03
2.864774624373956726e+02,1.653656649972175956e+03
2.854757929883138559e+02,1.653211463550361714e+03
2.844741235392320391e+02,1.652766277128547699e+03
2.834724540901502223e+02,1.652321090706733457e+03
2.824707846410684056e+02,1.651875904284919443e+03
2.814691151919866456e+02,1.651430717863105201e+03
2.804674457429048289e+02,1.650985531441291187e+03
2.794657762938230121e+02,1.650540345019476945e+03
2.784641068447411953e+02,1.650095158597662930e+03
2.774624373956594354e+02,1.649649972175848688e+03
2.764607679465776187e+02,1.649204785754034674e+03
2.754590984974958019e+02,1.648759599332220432e+03
2.744574290484140420e+02,1.648314412910406418e+03
2.734557595993322252e+02,1.647869226488592176e+03
2.724540901502504084e+02,1.647424040066778161e+03
2.714524207011685917e+02,1.646978853644963920e+03
2.704507512520868318e+02,1.646533667223149678e+03
2.694490818030050150e+02,1.646088480801335663e+03
2.684474123539231982e+02,1.645643294379521421e+03
2.674457429048413815e+02,1.645198107957707407e+03
2.664440734557596215e+02,1.644752921535893165e+03
2.654424040066778048e+02,1.644307735114079151e+03
2.644407345575959880e+02,1.643862548692264909e+03
2.634390651085142281e+02,1.643417362270450894e+03
2.624373956594324113e+02,1.642972175848636653e+03
2.614357262103505946e+02,1.642526989426822638e+03
2.604340567612687778e+02,1.642081803005008396e+03
2.594323873121870179e+02,1.641636616583194382e+03
2.584307178631052011e+02,1.641191430161380140e+03
2.574290484140233843e+02,1.640746243739566125e+03
2.564273789649415676e+02,1.640301057317751884e+03
2.554257095158597792e+02,1.639855870895937869e+03
2.544240400667779625e+02,1.639410684474123627e+03
2.534223706176961457e+02,1.638965498052309385e+03
2.524207011686143858e+02,1.638520311630495371e+03
2.514190317195325690e+02,1.638075125208681129e+03
2.504173622704507522e+02,1.637629938786867115e+03
2.494156928213689355e+02,1.637184752365052873e+03
2.484140233722871756e+02,1.636739565943238858e+03
2.474123539232053304e+02,1.636294379521424617e+03
2.464106844741235136e+02,1.635849193099610602e+03
2.454090150250416968e+02,1.635404006677796360e+03
2.444073455759599369e+02,1.634958820255982346e+03
2.434056761268781202e+02,1.634513633834168104e+03
2.424040066777963034e+02,1.634068447412354089e+03
2.414023372287145435e+02,1.633623260990539848e+03
2.404006677796327267e+02,1.633178074568725833e+03
2.393989983305509099e+02,1.632732888146911591e+03
2.383973288814690932e+02,1.632287701725097349e+03
2.373956594323873333e+02,1.631842515303283335e+03
2.363939899833055165e+02,1.631397328881469093e+03
2.353923205342236997e+02,1.630952142459655079e+03
2.343906510851419398e+02,1.630506956037840837e+03
2.333889816360601230e+02,1.630061769616026822e+03
2.323873121869782779e+02,1.629616583194212581e+03
2.313856427378964611e+02,1.629171396772398566e+03
2.303839732888147012e+02,1.628726210350584324e+03
2.293823038397328844e+02,1.628281023928770310e+03
2.283806343906510676e+02,1.627835837506956068e+03
2.273789649415692509e+02,1.627390651085142053e+03
2.263772954924874909e+02,1.626945464663327812e+03
2.253756260434056742e+02,1.626500278241513797e+03
2.243739565943238574e+02,1.626055091819699555e+03
2.233722871452420975e+02,1.625609905397885541e+03
2.223706176961602807e+02,1.625164718976071299e+03
2.213689482470784640e+02,1.624719532554257285e+03
2.203672787979966472e+02,1.624274346132443043e+03
2.193656093489148873e+02,1.623829159710629028e+03
2.183639398998330705e+02,1.623383973288814786e+03
2.173622704507512253e+02,1.622938786867000545e+03
2.163606010016694086e+02,1.622493600445186530e+03
2.153589315525876486e+02,1.622048414023372288e+03
2.143572621035058319e+02,1.621603227601558274e+03
2.133555926544240151e+02,1.621158041179744032e+03
2.123539232053422552e+02,1.620712854757930018e+03
2.113522537562604384e+02,1.620267668336115776e+03
2.103505843071786217e+02,1.619822481914301761e+03
2.093489148580968049e+02,1.619377295492487519e+03
2.083472454090150450e+02,1.618932109070673505e+03
2.073455759599332282e+02,1.618486922648859263e+03
2.063439065108514114e+02,1.618041736227045249e+03
2.053422370617696515e+02,1.617596549805231007e+03
2.043405676126878348e+02,1.617151363383416992e+03
2.033388981636060180e+02,1.616706176961602750e+03
2.023372287145241728e+02,1.616260990539788509e+03
2.013355592654424129e+02,1.615815804117974494e+03
2.003338898163605961e+02,1.615370617696160252e+03
1.993322203672787793e+02,1.614925431274346238e+03
1.983305509181969626e+02,1.614480244852531996e+03
1.973288814691152027e+02,1.614035058430717982e+03
1.963272120200333859e+02,1.613589872008903740e+03
1.953255425709515691e+02,1.613144685587089725e+03
1.943238731218698092e+02,1.612699499165275483e+03
1.933222036727879924e+02,1.612254312743461469e+03
1.923205342237061757e+02,1.611809126321647227e+03
1.913188647746243589e+02,1.611363939899833213e+03
1.903171953255425990e+02,1.610918753478018971e+03
1.893155258764607822e+02,1.610473567056204956e+03
1.883138564273789655e+02,1.610028380634390714e+03
1.873121869782971203e+02,1.609583194212576473e+03
1.863105175292153604e+02,1.609138007790762458e+03
1.853088480801335436e+02,1.608692821368948216e+03
1.843071786310517268e+02,1.608247634947134202e+03
1.833055091819699669e+02,1.607802448525319960e+03
1.823038397328881501e+02,1.607357262103505946e+03
1.813021702838063334e+02,1.606912075681691704e+03
1.803005008347245166e+02,1.606466889259877689e+03
1.792988313856427567e+02,1.606021702838063447e+03
1.782971619365609399e+02,1.605576516416249433e+03
1.772954924874791232e+02,1.605131329994435191e+03
1.762938230383973064e+02,1.604686143572621177e+03
1.752921535893155465e+02,1.604240957150806935e+03
1.742904841402337297e+02,1.603795770728992920e+03
1.732888146911519129e+02,1.603350584307178679e+03
1.722871452420701530e+02,1.602905397885364664e+03
1.712854757929883078e+02,1.602460211463550422e+03
1.702838063439064911e+02,1.602015025041736408e+03
1.692821368948246743e+02,1.601569838619922166e+03
1.682804674457429144e+02,1.601124652198108151e+03
1.672787979966610976e+02,1.600679465776293910e+03
1.662771285475792808e+02,1.600234279354479668e+03
1.652754590984975209e+02,1.599789092932665653e+03
1.642737896494157042e+02,1.599343906510851411e+03
1.632721202003338874e+02,1.598898720089037397e+03
1.622704507512520706e+02,1.598453533667223155e+03
1.612687813021703107e+02,1.598008347245409141e+03
1.602671118530884939e+02,1.597563160823594899e+03
1.592654424040066772e+02,1.597117974401780884e+03
1.582637729549248604e+02,1.596672787979966643e+03
1.572621035058430721e+02,1.596227601558152628e+03
1.562604340567612553e+02,1.595782415136338386e+03
1.552587646076794385e+02,1.595337228714524372e+03
1.542570951585976786e+02,1.594892042292710130e+03
1.532554257095158619e+02,1.594446855870896115e+03
1.522537562604340451e+02,1.594001669449081874e+03
1.512520868113522283e+02,1.593556483027267632e+03
1.502504173622704684e+02,1.593111296605453617e+03
1.492487479131886516e+02,1.592666110183639375e+03
1.482470784641068349e+02,1.592220923761825361e+03
1.472454090150250181e+02,1.591775737340011119e+03
1.462437395659432582e+02,1.591330550918197105e+03
1.452420701168614414e+02,1.590885364496382863e+03
1.442404006677796247e+02,1.590440178074568848e+03
1.432387312186978647e+02,1.589994991652754607e+03
1.422370617696160195e+02,1.589549805230940592e+03
1.412353923205342028e+02,1.589104618809126350e+03
1.402337228714523860e+02,1.588659432387312336e+03
1.392320534223706261e+02,1.588214245965498094e+03
1.382303839732888093e+02,1.587769059543684079e+03
1.372287145242069926e+02,1.587323873121869838e+03
1.362270450751252326e+02,1.586878686700055823e+03
1.352253756260434159e+02,1.586433500278241581e+03
1.342237061769615991e+02,1.585988313856427339e+03
1.332220367278797823e+02,1.585543127434613325e+03
1.322203672787980224e+02,1.585097941012799083e+03
1.312186978297162057e+02,1.584652754590985069e+03
1.302170283806343889e+02,1.584207568169170827e+03
1.292153589315525721e+02,1.583762381747356812e+03
1.282136894824708122e+02,1.583317195325542571e+03
1.272120200333889812e+02,1.582872008903728556e+03
1.262103505843071645e+02,1.582426822481914314e+03
1.252086811352254045e+02,1.581981636060100300e+03
1.242070116861435878e+02,1.581536449638286058e+03
1.232053422370617568e+02,1.581091263216472043e+03
1.222036727879799400e+02,1.580646076794657802e+03
1.212020033388981801e+02,1.580200890372843787e+03
1.202003338898163634e+02,1.579755703951029545e+03
1.191986644407345466e+02,1.572879885135957466e+03
1.181969949916527298e+02,1.564390388172459552e+03
1.171953255425709699e+02,1.555894202264393698e+03
1.161936560934891389e+02,1.547391327411759448e+03
1.151919866444073222e+02,1.538881763614556803e+03
1.141903171953255622e+02,1.530365510872786672e+03
1.131886477462437455e+02,1.521842569186447918e+03
1.121869782971619287e+02,1.513312938555540995e+03
1.111853088480801119e+02,1.504776618980065905e+03
1.101836393989983520e+02,1.496233610460023101e+03
1.091819699499165353e+02,1.487683912995411674e+03
1.081803005008347043e+02,1.479127526586232079e+03
1.071786310517528875e+02,1.470564451232484316e+03
1.061769616026711276e+02,1.461994686934168840e+03
1.051752921535893108e+02,1.453418233691284740e+03
1.041736227045074941e+02,1.444835091503832700e+03
1.031719532554257341e+02,1.436245260371812719e+03
1.021702838063439174e+02,1.427648740295224343e+03
1.011686143572620864e+02,1.419045531274067571e+03
1.001669449081802696e+02,1.410435633308342631e+03
9.916527545909850971e+01,1.401819046398049977e+03
9.816360601001669295e+01,1.393195770543188701e+03
9.716193656093487618e+01,1.384565805743759256e+03
9.616026711185311626e+01,1.375929151999762553e+03
9.515859766277129950e+01,1.367285809311196772e+03
9.415692821368948273e+01,1.358635777678062823e+03
9.315525876460765176e+01,1.349979057100361160e+03
9.215358931552589183e+01,1.341315647578091330e+03
9.115191986644407507e+01,1.332645549111253104e+03
9.015025041736225830e+01,1.323968761699846482e+03
8.914858096828044154e+01,1.315285285343871919e+03
8.814691151919868162e+01,1.306595120043329644e+03
8.714524207011686485e+01,1.297898265798218745e+03
8.614357262103503388e+01,1.289194722608539678e+03
8.514190317195327395e+01,1.280484490474292897e+03
8.414023372287145719e+01,1.271767569395477494e+03
8.313856427378964042e+01,1.263043959372093923e+03
8.213689482470782366e+01,1.254313660404142183e+03
8.113522537562606374e+01,1.245576672491622730e+03
8.013355592654424697e+01,1.236832995634534882e+03
7.913188647746243021e+01,1.228082629832878638e+03
7.813021702838059923e+01,1.219325575086654226e+03
7.712854757929883931e+01,1.210561831395862328e+03
7.612687813021702254e+01,1.201791398760501579e+03
7.512520868113520578e+01,1.193014277180572662e+03
7.412353923205344586e+01,1.184230466656076032e+03
7.312186978297157225e+01,1.175439967187010325e+03
7.212020033388981233e+01,1.166642778773377358e+03
7.111853088480805241e+01,1.157838901415176679e+03
7.011686143572616459e+01,1.149028335112406467e+03
6.911519198664440466e+01,1.140211079865068996e+03
6.811352253756264474e+01,1.131387135673163812e+03
6.711185308848077113e+01,1.122556502536689095e+03
6.611018363939901121e+01,1.113719180455647347e+03
6.510851419031725129e+01,1.104875169430037204e+03
6.410684474123537768e+01,1.096024469459858210e+03
6.310517529215361066e+01,1.087167080545111958e+03
6.210350584307172994e+01,1.078303002685796628e+03
6.110183639398997002e+01,1.069432235881914039e+03
6.010016694490821010e+01,1.060554780133463510e+03
5.909849749582633649e+01,1.051670635440443448e+03
5.809682804674456946e+01,1.042779801802856355e+03
5.709515859766280954e+01,1.033882279220701093e+03
5.609348914858093593e+01,1.024978067693976755e+03
5.509181969949917601e+01,1.016067167222685384e+03
5.409015025041741609e+01,1.007149577806825619e+03
5.308848080133553538e+01,9.982252994463967752e+02
5.208681135225377545e+01,9.892943321414007869e+02
5.108514190317189474e+01,9.803566758918356072e+02
5.008347245409013482e+01,9.714123306977032826e+02
4.908180300500837490e+01,9.624612965590027898e+02
4.808013355592650129e+01,9.535035734757331056e+02
4.707846410684474137e+01,9.445391614478963902e+02
4.607679465776297434e+01,9.355680604754913929e+02
4.507512520868110073e+01,9.265902705585173180e+02
4.407345575959934081e+01,9.176057916969760981e+02
4.307178631051758089e+01,9.086146238908665964e+02
4.207011686143570017e+01,8.996167671401879034e+02
4.106844741235394025e+01,8.906122214449421790e+02
4.006677796327205954e+01,8.816009868051272633e+02
3.906510851419029962e+01,8.708332501860362527e+02
3.806343906510853969e+01,8.597851204428084202e+02
3.706176961602666609e+01,8.485764560299437562e+02
3.606010016694490616e+01,8.372072569474444208e+02
3.505843071786313914e+01,8.256775231953092771e+02
3.405676126878126553e+01,8.139872547735369608e+02
3.305509181969950561e+01,8.021364516821303141e+02
3.205342237061774568e+01,7.901251139210877454e+02
3.105175292153586497e+01,7.779532414904080042e+02
3.005008347245410505e+01,7.656208343900938189e+02
2.904841402337222789e+01,7.531278926201424611e+02
2.804674457429046797e+01,7.404744161805567728e+02
2.704507512520870804e+01,7.276604050713350489e+02
2.604340567612683088e+01,7.146858592924762661e+02
2.504173622704506741e+01,7.015507788439830392e+02
2.404006677796330749e+01,6.882551637258541177e+02
2.303839732888143033e+01,6.747990139380876826e+02
2.203672787979967040e+01,6.611823294806871445e+02
2.103505843071791048e+01,6.474051103536506844e+02
2.003338898163602977e+01,6.334673565569769380e+02
1.903171953255426985e+01,6.192565600430324366e+02
1.803005008347250993e+01,6.046445606338896823e+02
1.702838063439063276e+01,5.896312245506559293e+02
1.602671118530887284e+01,5.742165517933342471e+02
1.502504173622699390e+01,5.584005423619212252e+02
1.402337228714523398e+01,5.421831962564205014e+02
1.302170283806347229e+01,5.255645134768303706e+02
1.202003338898159512e+01,5.085444940231486157e+02
1.101836393989983520e+01,4.911231378953793865e+02
1.001669449081807350e+01,4.733004450935206364e+02
9.015025041736196343e+00,4.550764156175701487e+02
8.013355592654436421e+00,4.364510494675323571e+02
7.011686143572674723e+00,4.174243466434050447e+02
6.010016694490797562e+00,3.979963071451859378e+02
5.008347245409036752e+00,3.781669309728795838e+02
4.006677796327159591e+00,3.579362181264812648e+02
3.005008347245398781e+00,3.373041686059958693e+02
2.003338898163637971e+00,3.162707824114209529e+02
1.001669449081760810e+00,2.948360595427539579e+02
0.000000000000000000e+00,2.730000000000000000e+02
